industry_name,code
   Warehousing and Storage,4931
"Finance, Insurance, Real Estate and Leasing",5211 - 5331
   Monetary Authorities - Central Bank & Credit Intermediation and Related Activities,"5211, 5221 - 5223"
"   Securities, Commodity Contracts, and Other Intermediation and Related Activities",5231 - 5239
    Insurance Carriers & Related Activities and Funds & Other Financial Vehicles,"5241 - 5242, 5261 - 5269"
   Real Estate,5311 - 5313
   Rental & Leasing Services and Owners & Lessors of Other Non-Financial Assets,"5321 - 5324, 5331"
"Professional, Scientific and Technical Services",5411 - 5419
   Legal Services,5411
   Accounting and Tax Preparation,5412
"   Architectural, Engineering and Design Services",5413 - 5414
   Computer System Design Services,5415
"   Management, Scientific and Technical Services",5416 - 5417
   Advertising and Related Services,5418
   Other Professional Services,5419
"Business, Building and Other Support Services",5511 - 5629
   Employment Services,5613
   Business Services,5614
   Travelling Services,5615
   Security Services,5616
   Building Services,5617
   Management of Enterprises and Other Administrative Services,"5511, 5611 - 5612, 5619"
   Waste Management and Remediation Services,5621 - 5629
Educational Services,6111 - 6117
   Primary and Secondary,6111
   Post-Secondary,6112
   University,6113
   Other Schools and Educational Support,6114 - 6117
Health Care and Social Assistance,6211 - 6244
   Ambulatory Health Care Services,6211 - 6219
   Hospitals,6220
   Nursing and Residential Care Facilities,6230
   Social Assistance,6241 - 6244
"Information, culture and recreation","5111 - 5191, 7111 - 7139"
   Publishing Industries,"5111 - 5112, 5161"
   Motion Picture and Sound Recording Industries,5121 - 5122
   Broadcasting and Telecommunications,"5151 - 5152, 5171 - 5179"
   Information Services and Data Processing Services,5181 - 5191
"   Performing Arts, Spectator Sports and Related Industries",7111 - 7115
   Heritage Institutions,7121
"   Amusement, Gambling and Recreation Industries",7131 - 7139
Accommodation and food services,7211 - 7225
   Accommodation Services,7211 - 7213
   Food Services and Drinking Places,7221 - 7224
Other services,8111 - 8141
   Repair and Maintenance,8111 - 8114
   Personal and Laundry Services,8121 - 8129
"   Religious, Grant-Making, Civic, and Professional and Similar Organizations",8131 - 8139
   Private Households,8141
Public administration,9110 - 9191
   Federal Government Public Administration (including Defence Services),"9110, 9111"
   Provincial and Territorial Public Administration,9120
"   Local, Municipal & Regional Public Administration and Aboriginal, Inter & Other Extra-Territorial Public Admin","9130, 9141, 9191"
